"Protein","Role"
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
"LEP",-1
